1,2
1,1
1,2
1,2
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,2
1,1
1,1
1,2
1,1
2,2
1,2
2,2
2,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,2
1,1
2,2
2,2
1,1
2,2
2,4
1,1
1,2
2,2
1,1
2,2
2,4
1,1
2,2
2,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,2
1,1
2,2
2,4
1,1
2,2
2,4
1,1
1,2
2,2
1,1
2,2
2,4
1,1
2,2
2,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
1,1
1,2
1,1
2,2
2,4
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,3
1,1
2,2
2,4
1,1
2,3
1,1
2,2
2,2
1,1
2,2
1,1
2,3
1,1
1,1
1,1
1,1
1,1
1,4
1,1
1,1
1,4
1,1
2,2
2,3
1,1
2,2
1,1
2,3
1,1
2,2
2,3
1,1
2,3
1,1
2,3
1,1
1,1
1,1
1,1
1,1
1,4
1,1
1,1
1,4
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,3
1,1
2,2
1,1
2,2
1,1
1,1
1,3
1,1
1,1
1,3
1,1
1,3
1,4
1,1
2,3
1,1
2,2
1,3
1,1
1,2
1,3
1,1
2,3
1,3
1,1
1,1
1,3
1,1
1,1
1,1
1,1
1,3
1,4
1,1
2,2
1,1
2,3
1,3
1,1
2,3
1,1
1,3
1,1
1,1
1,3
1,1
1,1
1,4
1,1
1,3
1,4
1,1
2,2
1,1
1,3
1,1
2,3
1,3
1,3
1,1
1,1
1,1
1,1
1,1
1,4
1,1
1,1
1,4
1,1
2,3
1,1
1,1
1,1
2,3
1,1
1,3
1,1
1,1
1,3
1,1
1,1
1,3
1,1
1,3
1,1
1,1
2,3
1,1
2,3
1,3
4,4
1,1
1,3
1,3
1,1
2,3
1,3
4,4
1,1
1,1
1,3
1,1
1,1
1,3
1,1
1,3
1,1
1,1
2,3
1,1
2,3
1,3
4,4
1,1
2,3
1,1
3,3
4,4
1,3
3,3
4,0
1,1
1,1
1,3
1,1
1,1
1,1
1,1
1,3
1,1
1,1
2,3
3,3
1,1
3,3
4,4
1,3
3,3
4,0
1,1
2,3
3,3
1,1
3,3
4,0
1,1
3,3
4,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,4
1,1
2,3
3,3
1,1
3,3
4,4
1,1
3,3
4,0
1,2
2,3
3,3
1,1
3,3
4,4
1,1
3,3
4,0
